County,State,Value,Category Range
Aleutians East,AK,106.1,106.1 - 380.0 (648)
Pitkin,CO,133.8,106.1 - 380.0 (648)
Eagle,CO,157.5,106.1 - 380.0 (648)
Summit,CO,171.8,106.1 - 380.0 (648)
Aleutians West,AK,184.7,106.1 - 380.0 (648)
San Miguel,CO,186,106.1 - 380.0 (648)
Ouray,CO,210.9,106.1 - 380.0 (648)
Teton,WY,215.2,106.1 - 380.0 (648)
Manassas Park,VA,221.1,106.1 - 380.0 (648)
Blaine,ID,234.1,106.1 - 380.0 (648)
Douglas,CO,242.2,106.1 - 380.0 (648)
Collier,FL,247.8,106.1 - 380.0 (648)
Fairfax,VA,253.7,106.1 - 380.0 (648)
Vega Alta,PR,254.3,106.1 - 380.0 (648)
Routt,CO,256.8,106.1 - 380.0 (648)
Toa Alta,PR,258,106.1 - 380.0 (648)
Barranquitas,PR,258.1,106.1 - 380.0 (648)
Carver,MN,258.8,106.1 - 380.0 (648)
Marin,CA,261,106.1 - 380.0 (648)
Hatillo,PR,261.6,106.1 - 380.0 (648)
Camuy,PR,261.9,106.1 - 380.0 (648)
Ceiba,PR,261.9,106.1 - 380.0 (648)
Park,CO,262.4,106.1 - 380.0 (648)
Washington,MN,266.7,106.1 - 380.0 (648)
Morovis,PR,267,106.1 - 380.0 (648)
Quebradillas,PR,267.8,106.1 - 380.0 (648)
Loiza,PR,267.9,106.1 - 380.0 (648)
Dakota,MN,268.6,106.1 - 380.0 (648)
Montgomery,MD,270,106.1 - 380.0 (648)
Yabucoa,PR,270.3,106.1 - 380.0 (648)
Trujillo Alto,PR,270.5,106.1 - 380.0 (648)
Juncos,PR,270.6,106.1 - 380.0 (648)
Naranjito,PR,270.9,106.1 - 380.0 (648)
Corozal,PR,270.9,106.1 - 380.0 (648)
Canovanas,PR,270.9,106.1 - 380.0 (648)
Cayey,PR,271.1,106.1 - 380.0 (648)
Chatham,NC,272.9,106.1 - 380.0 (648)
Loudoun,VA,274,106.1 - 380.0 (648)
Carolina,PR,274.9,106.1 - 380.0 (648)
Luquillo,PR,276.4,106.1 - 380.0 (648)
San Lorenzo,PR,276.5,106.1 - 380.0 (648)
Lincoln,ID,276.6,106.1 - 380.0 (648)
Gurabo,PR,277.1,106.1 - 380.0 (648)
Humacao,PR,277.5,106.1 - 380.0 (648)
Rio Grande,PR,277.5,106.1 - 380.0 (648)
Cidra,PR,278.1,106.1 - 380.0 (648)
Fairfax City,VA,278.1,106.1 - 380.0 (648)
Comerio,PR,278.8,106.1 - 380.0 (648)
Arecibo,PR,278.9,106.1 - 380.0 (648)
San Juan,PR,279,106.1 - 380.0 (648)
Isabela,PR,279.1,106.1 - 380.0 (648)
Las Piedras,PR,279.7,106.1 - 380.0 (648)
Caguas,PR,279.7,106.1 - 380.0 (648)
Camas,ID,279.8,106.1 - 380.0 (648)
Hennepin,MN,279.9,106.1 - 380.0 (648)
Aguada,PR,280,106.1 - 380.0 (648)
Beaufort,SC,280,106.1 - 380.0 (648)
Washington,UT,280.1,106.1 - 380.0 (648)
Rincon,PR,280.3,106.1 - 380.0 (648)
Anoka,MN,280.6,106.1 - 380.0 (648)
Guaynabo,PR,281.7,106.1 - 380.0 (648)
Cabo Rojo,PR,281.7,106.1 - 380.0 (648)
Sarasota,FL,282.2,106.1 - 380.0 (648)
Hormigueros,PR,282.4,106.1 - 380.0 (648)
Hubbard,MN,282.6,106.1 - 380.0 (648)
Taos,NM,282.6,106.1 - 380.0 (648)
Aguas Buenas,PR,283.9,106.1 - 380.0 (648)
San Sebastian,PR,284.1,106.1 - 380.0 (648)
Lincoln,SD,284.4,106.1 - 380.0 (648)
Gunnison,CO,285.4,106.1 - 380.0 (648)
Florida,PR,286.1,106.1 - 380.0 (648)
Dorado,PR,286.2,106.1 - 380.0 (648)
Bayamon,PR,286.3,106.1 - 380.0 (648)
Albemarle,VA,286.4,106.1 - 380.0 (648)
Grand,CO,286.5,106.1 - 380.0 (648)
Kodiak Island,AK,287.6,106.1 - 380.0 (648)
Arlington,VA,287.9,106.1 - 380.0 (648)
Ciales,PR,288.2,106.1 - 380.0 (648)
Barceloneta,PR,288.5,106.1 - 380.0 (648)
Catano,PR,289.9,106.1 - 380.0 (648)
Manati,PR,290,106.1 - 380.0 (648)
